Student_ID,Gender,Age,Department,Year_of_Study,Attendance_Percentage,Study_Hours_Per_Day,Previous_CGPA,Assignment_Completion_Rate,Online_Resources_Used,Extracurricular_Activities,Sleep_Hours,Family_Income_Category,Internet_Access,Mental_Health_Score,Part_Time_Job,Distance_From_College_KM,Final_Grade,Performance_Score
S0078,Male,21,Mechanical,2,85.2,7.3,8.52,,No,2,6.1,Medium,No,6.7,No,42.1,B,65.7
S0079,Male,19,Electrical,1,74.4,7.1,8.42,90.0,No,3,6.8,High,Yes,5.7,No,6.0,C,53.4
S0080,Male,23,Computer Science,3,74.0,4.8,6.38,64.8,Yes,4,5.7,Medium,Yes,5.5,No,5.5,C,45.2
S0081,Female,21,BBA,3,81.6,4.7,7.3,65.1,Yes,2,4.9,Medium,No,5.8,No,4.8,D,42.2
S0082,Female,18,MBA,1,73.4,4.7,6.43,69.2,Yes,0,7.2,Medium,Yes,7.7,No,23.5,D,43.1
S0083,Male,20,Computer Science,4,77.2,2.6,7.39,68.9,Yes,1,4.7,Medium,Yes,,Yes,7.9,D,44.5
S0084,Male,22,Computer Science,1,79.6,4.7,7.18,70.5,Yes,0,6.8,Medium,Yes,6.3,No,10.2,C,48.8
S0085,Male,23,Mechanical,2,79.0,3.9,6.92,74.8,Yes,0,6.8,Low,Yes,4.6,Yes,3.0,D,36.0
S0086,Male,20,MBA,2,71.9,5.1,5.63,65.8,Yes,1,5.2,Medium,Yes,6.4,No,8.8,F,29.1
S0087,Female,20,MBA,3,80.4,5.4,7.85,75.3,Yes,2,4.9,Low,Yes,4.8,No,4.2,C,51.9
S0088,Female,18,MBA,2,72.8,5.0,6.29,62.6,Yes,1,5.6,Medium,Yes,4.6,No,14.1,D,39.3
S0089,Female,25,Mechanical,4,81.8,7.0,9.13,74.3,Yes,3,5.7,Medium,Yes,6.2,No,18.9,C,57.4
S0090,Male,19,Computer Science,3,,4.4,6.58,68.6,No,3,4.7,Medium,Yes,6.7,No,13.5,D,31.2
S0091,Male,23,Mechanical,3,80.7,6.1,7.22,71.6,No,2,5.1,Low,No,,No,14.1,D,44.5
S0092,Female,20,Electronics,3,78.6,7.7,8.61,74.7,Yes,0,6.6,Medium,Yes,8.2,No,8.2,C,49.6
S0093,Female,20,Electronics,3,80.2,3.7,7.3,76.2,No,3,8.9,Low,No,8.9,Yes,13.5,C,48.3
S0094,Female,20,Mechanical,1,89.8,4.3,7.68,72.3,Yes,1,7.7,High,Yes,4.5,No,6.5,C,49.4
S0095,Female,19,MBA,2,77.8,3.5,8.1,76.0,Yes,3,6.7,High,Yes,3.6,Yes,11.5,C,45.5
S0096,Female,18,Computer Science,4,72.8,4.6,5.8,62.3,Yes,3,7.9,High,Yes,7.5,No,4.0,C,46.7
S0097,Female,19,Mechanical,1,79.6,,7.87,66.7,No,2,7.9,Medium,No,8.0,No,1.7,C,57.2
S0098,Male,18,Mechanical,3,86.8,5.6,8.34,76.6,Yes,1,6.1,Medium,Yes,8.8,Yes,6.3,B,67.1
S0099,Male,21,Mechanical,4,85.5,6.9,8.99,73.8,Yes,2,6.8,Low,Yes,6.1,No,7.2,C,55.4
S0100,Male,19,Electrical,1,79.6,2.4,6.81,66.9,No,0,7.7,Low,No,6.3,Yes,4.0,F,22.5
S0101,Male,18,Electronics,3,83.8,4.7,8.06,67.0,Yes,3,7.8,Medium,Yes,5.3,No,14.0,B,65.0
S0102,Female,24,BBA,2,81.3,4.1,,75.4,Yes,1,7.8,Medium,Yes,4.4,No,1.8,C,52.2
S0103,Male,22,MBA,2,72.1,5.8,6.97,69.9,Yes,1,5.3,High,Yes,5.6,No,3.5,C,49.0
S0104,Female,23,Civil,1,78.9,5.1,,57.7,No,1,7.9,Low,No,10.0,No,14.8,C,48.7
S0105,Female,25,BBA,1,80.0,4.1,,72.0,Yes,5,8.7,High,Yes,6.9,No,6.7,B,70.3
S0106,Male,18,MBA,3,91.0,7.9,9.03,83.1,Yes,2,8.3,Medium,Yes,5.9,No,13.2,C,59.0
S0107,Male,19,Civil,3,78.7,3.0,7.5,68.2,No,0,5.2,Medium,Yes,5.8,Yes,9.4,C,56.8
S0108,Female,21,Electrical,3,63.4,,7.34,65.7,Yes,2,4.9,Low,Yes,1.4,Yes,31.1,F,28.8
S0109,Male,21,Mechanical,2,76.5,4.5,5.85,70.4,Yes,1,7.1,Low,Yes,7.4,No,10.1,C,45.5
S0110,Male,18,Electrical,1,96.6,4.8,8.22,71.5,Yes,1,8.3,Medium,Yes,8.8,No,1.1,B,73.0
S0111,Male,22,Electrical,3,77.3,4.4,8.79,70.4,Yes,4,6.8,Medium,Yes,,No,5.4,C,47.5
S0112,Male,19,BBA,1,78.2,4.1,7.2,67.1,No,4,6.2,Low,Yes,8.3,No,2.5,D,30.8
S0113,Female,19,Computer Science,4,84.8,6.0,9.96,92.6,Yes,1,6.4,Medium,Yes,7.0,No,26.9,B,61.5
S0114,Female,20,BBA,4,77.5,5.1,7.07,59.7,No,3,7.7,High,No,9.8,No,2.1,D,41.5
S0115,Female,20,Electronics,3,72.0,2.6,5.36,72.1,Yes,4,6.1,High,Yes,3.3,No,5.9,D,41.8
S0116,Female,20,Civil,4,75.3,5.2,7.25,63.4,Yes,3,7.1,High,No,7.0,No,3.6,D,44.8
S0117,Female,18,Mechanical,1,79.5,4.9,5.44,55.1,Yes,1,6.3,Medium,Yes,7.5,No,19.8,B,65.5
S0118,Male,22,BBA,3,76.6,6.6,8.1,69.8,No,1,5.4,Low,Yes,3.1,No,4.7,C,52.2
S0119,Female,19,Civil,2,76.7,4.5,7.18,71.4,Yes,2,5.3,Medium,Yes,7.5,No,49.2,C,55.6
S0120,Female,18,MBA,4,87.3,,8.45,76.9,No,0,7.1,Medium,No,6.2,Yes,1.4,D,40.9
S0121,Female,22,Civil,1,80.7,4.9,6.02,59.2,Yes,1,3.3,Low,Yes,6.7,Yes,2.4,D,36.3
S0122,Female,24,MBA,3,80.1,6.6,7.1,69.6,Yes,1,7.1,Low,Yes,7.7,No,3.5,D,42.1
S0123,Male,22,BBA,4,74.8,4.8,7.34,75.7,No,4,6.3,Medium,No,8.3,No,17.7,F,27.0
S0124,Male,22,Electronics,1,,5.3,8.04,67.3,No,1,7.6,Low,Yes,4.2,Yes,22.1,C,51.2
S0125,Male,21,BBA,2,79.6,4.0,5.45,62.9,No,1,7.2,Low,No,7.9,No,1.7,D,38.2
S0126,Male,20,MBA,3,60.1,,6.36,68.3,Yes,1,6.6,Low,Yes,3.1,No,1.3,F,20.8
S0127,Female,18,Civil,2,63.8,6.8,6.3,55.4,No,1,5.2,Low,No,6.6,No,14.6,D,37.2
S0128,Female,20,Civil,1,73.9,4.9,5.19,71.2,Yes,3,5.3,Medium,Yes,6.4,No,2.4,C,51.3
S0129,Male,19,MBA,1,83.9,7.4,8.09,69.2,No,1,5.7,Medium,No,5.3,No,2.4,B,62.1
S0130,Female,19,Electrical,1,85.7,4.5,7.17,67.1,No,4,7.5,Medium,No,5.9,No,1.2,C,52.1
S0131,Male,21,Electronics,4,78.3,6.2,7.35,70.2,No,0,8.6,Low,Yes,5.9,Yes,1.5,D,44.8
S0132,Male,20,Computer Science,2,70.8,4.6,6.87,71.9,Yes,4,6.9,Low,Yes,6.0,No,4.1,B,60.4
S0133,Male,18,Mechanical,1,72.5,4.3,5.93,50.4,No,0,5.8,Medium,Yes,6.3,No,1.7,C,46.4
S0134,Male,19,Civil,2,75.4,4.3,5.95,68.7,Yes,0,5.9,Medium,Yes,9.3,No,5.6,D,34.8
S0135,Female,21,Mechanical,2,82.1,6.7,8.97,83.5,Yes,0,6.0,Medium,No,7.4,No,18.9,B,60.4
S0136,Male,18,Computer Science,1,77.0,5.7,7.23,64.2,Yes,1,7.7,Medium,Yes,6.2,No,5.0,C,49.3
S0137,Female,22,BBA,2,80.5,5.1,6.38,47.3,No,2,5.9,High,Yes,6.8,No,14.0,C,48.3
S0138,Female,20,Mechanical,2,82.0,,7.24,74.2,Yes,0,6.4,Low,Yes,6.6,Yes,2.0,C,48.8
S0139,Male,20,Computer Science,2,79.4,3.6,6.23,69.0,Yes,0,8.1,Medium,Yes,6.1,No,11.8,D,41.8
S0140,Other,20,MBA,3,76.9,3.6,5.72,54.6,No,2,5.8,Medium,Yes,7.1,No,4.8,C,51.2
S0141,Other,22,Electrical,1,65.8,4.0,5.97,56.1,No,3,7.2,Medium,Yes,4.6,No,14.9,F,28.9
S0142,Male,19,Civil,3,80.2,3.5,6.64,67.4,No,3,7.6,Low,Yes,5.3,Yes,2.5,D,38.8
S0143,Female,21,Computer Science,2,67.7,5.2,5.48,53.4,Yes,5,6.6,Medium,Yes,3.2,No,23.8,C,47.5
S0144,Male,20,Mechanical,2,78.3,5.0,,68.9,Yes,0,8.8,Medium,Yes,6.9,No,3.8,B,68.4
S0145,Male,19,Civil,3,73.1,0.0,6.21,65.2,Yes,1,8.5,Low,Yes,,Yes,5.4,D,32.3
S0146,Male,22,Electrical,2,67.0,5.4,5.71,57.7,No,1,6.8,Low,No,5.1,No,31.0,F,27.4
S0147,Female,21,MBA,4,69.4,2.5,6.93,72.4,Yes,0,5.5,Low,Yes,6.5,Yes,9.6,C,46.6
S0148,Female,21,BBA,3,89.8,3.3,6.53,69.8,Yes,1,5.6,High,Yes,6.0,No,5.6,C,50.3
S0149,Male,22,Civil,2,80.8,6.0,7.79,64.9,No,0,6.8,Low,No,6.4,Yes,30.9,C,57.7
S0150,Male,22,BBA,3,88.6,5.5,8.45,72.2,Yes,1,5.2,High,Yes,8.7,No,5.0,C,58.1
S0151,Female,21,Computer Science,3,77.2,5.0,6.43,66.5,Yes,0,6.8,Medium,Yes,9.6,No,2.0,C,56.6
S0152,Male,22,Electrical,1,78.5,5.6,8.82,75.0,Yes,3,8.5,High,Yes,7.0,No,50.0,C,58.3
S0153,Male,21,Mechanical,1,86.3,9.2,9.94,95.8,Yes,2,6.6,High,Yes,6.8,No,4.1,B,66.4
S0154,Female,21,Electrical,1,74.5,5.3,6.79,74.9,Yes,0,6.5,Medium,Yes,5.5,No,20.1,C,54.0
S0155,Other,20,Electrical,4,73.9,0.4,4.67,51.1,No,0,7.5,Low,No,8.3,Yes,2.8,D,39.9
S0156,Male,21,Electronics,3,69.1,0.0,5.01,65.1,Yes,4,7.1,Low,Yes,8.0,Yes,14.1,F,24.9
S0157,Female,18,Electrical,4,72.3,4.6,6.04,54.9,No,2,5.1,Low,Yes,4.6,No,8.4,D,36.7
S0158,Female,22,Electrical,3,65.3,4.7,5.99,56.1,Yes,2,6.0,Medium,Yes,4.9,No,40.6,F,25.9
S0159,Male,22,Civil,2,79.9,5.7,6.93,60.9,No,2,8.8,Low,Yes,9.8,No,9.0,C,49.0
S0160,Female,17,Mechanical,1,73.5,3.0,7.81,69.8,Yes,0,6.9,Low,Yes,4.0,Yes,1.3,C,45.6
S0161,Male,22,Civil,3,64.3,3.0,,56.3,Yes,3,5.3,Medium,Yes,5.6,No,10.3,D,33.7
S0162,Female,18,Civil,3,74.7,2.8,7.64,53.1,Yes,0,6.3,High,Yes,7.0,No,2.6,D,33.9
S0163,Female,19,Computer Science,4,67.8,2.2,6.47,67.2,Yes,2,4.4,Low,Yes,4.7,Yes,17.0,F,16.5
S0164,Female,21,Civil,1,94.5,5.3,8.97,78.4,No,3,4.3,Low,No,8.6,No,20.4,C,56.5
S0165,Male,18,Electronics,2,71.7,2.8,5.74,56.8,No,0,7.7,Low,No,9.2,No,7.6,D,41.4
S0166,Female,22,Electronics,3,58.9,,6.26,59.8,No,3,6.5,High,Yes,4.2,No,16.3,D,33.5
S0167,Male,22,BBA,3,78.3,3.6,6.95,61.0,No,0,7.1,Medium,Yes,5.4,Yes,2.6,C,52.1
S0168,Male,20,Computer Science,2,79.8,3.5,5.9,70.4,Yes,3,7.9,Low,Yes,8.4,No,7.8,C,46.2
S0169,Male,17,BBA,3,86.0,4.7,8.05,85.3,Yes,4,6.9,Low,Yes,4.9,Yes,6.0,D,40.3
S0170,Female,19,BBA,1,,5.4,5.45,50.4,No,0,7.4,Low,No,,No,10.4,D,31.6
S0171,Female,20,MBA,3,63.4,2.1,5.29,56.0,No,0,6.8,Low,No,3.3,Yes,1.5,C,49.3
S0172,Male,25,Mechanical,3,80.4,4.8,8.95,,Yes,3,8.0,High,Yes,7.7,No,14.9,B,63.0
S0173,Female,20,Mechanical,4,,4.5,5.79,62.8,Yes,2,8.6,Medium,Yes,8.9,No,1.8,C,47.4
S0174,Male,19,Civil,4,88.6,5.2,8.05,70.9,Yes,2,6.7,Medium,Yes,6.6,Yes,11.7,C,49.5
S0175,Female,20,Civil,2,74.8,3.8,6.15,58.5,Yes,2,6.7,High,Yes,9.3,No,1.2,D,44.4
S0176,Male,20,MBA,1,69.8,2.0,6.8,54.8,Yes,2,6.9,Low,Yes,3.8,Yes,18.8,D,43.2
S0177,Female,21,Civil,4,70.2,2.4,5.68,51.6,Yes,2,6.4,Medium,Yes,4.6,No,2.9,D,39.6
S0178,Male,18,Mechanical,2,66.7,,5.59,57.6,Yes,1,6.0,High,Yes,5.8,No,8.2,D,32.0
S0179,Female,21,BBA,4,79.6,4.9,8.58,76.0,Yes,2,7.8,Medium,Yes,4.3,No,4.0,B,64.4
S0180,Male,20,Electrical,1,75.6,3.5,6.17,64.3,Yes,1,6.0,Medium,No,5.8,No,13.8,F,28.9
S0181,Male,24,Electronics,3,70.7,5.4,8.16,64.3,No,1,6.0,Low,Yes,5.4,No,4.9,D,34.4
S0182,Male,19,Electrical,3,86.9,6.1,8.08,64.7,No,0,7.6,Low,No,8.7,No,13.9,C,48.6
S0183,Female,20,Electrical,4,86.2,5.3,7.71,63.3,Yes,2,7.7,Low,Yes,9.0,No,4.4,B,61.7
S0184,Female,23,Mechanical,2,,3.1,5.07,57.2,Yes,0,9.3,Medium,No,7.9,No,15.0,D,33.7
S0185,Male,18,Electrical,3,70.8,3.9,6.13,66.9,Yes,0,8.0,Medium,Yes,6.5,Yes,1.3,F,24.8
S0186,Female,23,MBA,2,75.5,4.5,8.64,73.2,Yes,3,7.5,High,Yes,7.2,Yes,4.3,C,46.7
S0187,Female,21,Computer Science,1,74.8,5.6,8.32,78.4,Yes,4,7.7,Medium,Yes,5.9,No,7.9,C,45.7
S0188,Female,18,Civil,3,84.1,7.4,7.72,76.3,Yes,0,6.3,High,Yes,5.7,No,1.5,C,55.8
S0189,Female,19,Computer Science,3,78.7,5.8,7.26,75.5,Yes,3,7.2,High,Yes,7.3,No,3.1,C,55.8
S0190,Male,21,BBA,4,76.5,2.6,6.66,58.8,No,1,7.2,Low,No,6.4,Yes,28.3,C,48.6
S0191,Male,18,Electronics,2,68.2,3.7,7.99,79.9,Yes,1,5.8,Medium,Yes,5.5,No,38.7,D,39.5
S0192,Female,20,Civil,1,69.3,,5.66,46.3,Yes,0,6.4,Low,Yes,,No,14.5,F,27.8
S0193,Female,19,Electrical,1,75.1,4.4,6.27,73.3,Yes,1,7.6,Medium,No,4.7,Yes,3.9,C,48.1
S0194,Female,20,Electronics,2,75.1,5.9,6.9,70.6,Yes,0,6.5,High,Yes,5.4,No,4.0,C,46.6
S0195,Male,17,Civil,2,86.3,4.7,7.16,79.4,Yes,0,7.2,Low,No,8.4,No,11.4,C,51.3
S0196,Male,22,MBA,3,,1.9,4.95,57.9,Yes,0,7.6,Medium,Yes,3.4,Yes,2.3,F,19.6
S0197,Female,24,MBA,2,62.8,3.8,5.5,64.2,No,0,7.5,Medium,No,6.4,No,30.6,F,24.8
S0198,Female,24,MBA,4,86.4,3.9,6.86,62.6,No,2,8.6,Medium,Yes,10.0,No,3.5,C,56.5
S0199,Female,21,MBA,4,68.2,4.3,7.34,63.2,Yes,2,5.8,Medium,Yes,5.5,No,50.0,D,34.7
S0200,Female,18,Electrical,3,87.2,5.8,8.77,90.3,Yes,1,8.5,Medium,Yes,7.6,No,7.8,B,68.3
S0201,Female,21,Computer Science,4,72.9,4.5,6.52,47.6,No,3,7.1,Low,No,10.0,No,15.8,C,46.1
S0202,Male,17,Civil,3,76.8,1.8,5.37,50.3,No,2,7.5,Low,Yes,7.1,Yes,1.0,F,28.7
S0203,Male,17,Electrical,2,80.6,7.9,,83.8,No,2,7.3,Low,No,7.9,No,23.0,B,64.3
S0204,Female,19,MBA,1,81.4,6.0,8.56,72.9,No,0,7.3,Medium,Yes,5.7,No,4.1,C,45.7
S0205,Female,20,BBA,2,71.4,2.7,5.45,53.6,No,1,5.7,Low,Yes,6.4,No,12.0,F,22.0
S0206,Male,21,Computer Science,2,83.7,6.6,8.04,63.9,No,0,7.5,High,No,,No,17.4,C,55.1
S0207,Male,21,BBA,4,77.0,7.2,7.92,82.5,Yes,1,4.8,Medium,Yes,7.5,No,2.8,C,48.8
S0208,Female,20,Electronics,2,88.4,8.2,6.19,69.7,Yes,3,9.0,Medium,No,9.6,No,6.8,C,58.4
S0209,Male,19,BBA,4,78.2,5.1,5.62,54.0,No,2,7.0,Medium,No,7.4,No,7.8,D,31.8
S0210,Male,25,Electronics,3,,3.4,6.74,49.3,No,2,7.9,Medium,No,8.0,No,4.7,C,46.7
S0211,Female,20,Electronics,1,,2.9,6.73,64.6,Yes,1,7.3,High,Yes,3.1,Yes,7.6,D,42.0
S0212,Female,20,MBA,4,75.2,8.0,7.76,67.5,No,0,6.5,Low,No,1.8,No,4.8,C,53.6
S0213,Female,18,Electronics,2,76.9,2.1,6.96,70.3,Yes,0,5.9,Low,Yes,,Yes,5.5,D,30.2
S0214,Male,21,Mechanical,2,70.8,3.4,6.9,62.2,No,2,5.6,Medium,Yes,1.3,No,12.1,F,24.4
S0215,Female,21,Civil,3,73.1,2.3,6.39,54.8,No,5,7.4,Low,No,7.1,Yes,11.0,D,38.4
