Student_ID,Gender,Age,Department,Year_of_Study,Attendance_Percentage,Study_Hours_Per_Day,Previous_CGPA,Assignment_Completion_Rate,Online_Resources_Used,Extracurricular_Activities,Sleep_Hours,Family_Income_Category,Internet_Access,Mental_Health_Score,Part_Time_Job,Distance_From_College_KM,Final_Grade,Performance_Score,Predicted_Score,Risk_Category,Attendance_Group,Study_Group
S0016,Male,23,Electronics,3,77.3,3.9,6.69,61.0,Yes,0,5.3,Medium,Yes,5.6,No,4.9,D,44.5,46.112999999999985,At-Risk,"(75, 90]","(2, 4]"
S0017,Male,18,Civil,2,85.7,4.1,6.86,78.8,Yes,2,7.6,Medium,Yes,8.7,No,3.5,D,41.9,44.95000000000001,At-Risk,"(75, 90]","(4, 6]"
S0018,Female,20,Electrical,2,65.9,4.9,7.47,53.7,No,1,4.9,High,No,4.9,No,22.0,C,48.2,44.105999999999966,At-Risk,"(60, 75]","(4, 6]"
S0019,Male,23,Civil,1,64.4,5.0,6.96,60.3,Yes,1,5.8,High,Yes,3.7,No,7.6,F,24.0,28.598000000000003,At-Risk,"(60, 75]","(4, 6]"
S0020,Male,17,Mechanical,2,77.8,4.0,6.96,62.4,No,3,5.4,High,Yes,8.8,No,9.3,D,44.8,43.78100000000005,At-Risk,"(75, 90]","(2, 4]"
S0021,Female,21,Mechanical,1,65.7,4.3,5.9,61.6,No,1,3.3000000000000007,Medium,No,7.1,No,10.0,D,33.4,34.99700000000002,At-Risk,"(60, 75]","(4, 6]"
S0022,Male,19,Electrical,2,79.7,6.6,7.61,85.8,Yes,2,5.9,Medium,Yes,5.6,No,11.2,B,71.2,61.79099999999994,Average,"(75, 90]","(6, 10]"
S0023,Male,23,Computer Science,1,70.9,2.7,4.58,40.8,No,0,6.4,Medium,No,7.1,No,7.8,D,33.0,34.290000000000006,At-Risk,"(60, 75]","(2, 4]"
S0024,Male,24,Electronics,4,74.0,3.8,6.28,69.2,Yes,0,5.6,High,Yes,4.0,No,1.2,D,39.2,42.475,At-Risk,"(60, 75]","(2, 4]"
S0025,Male,23,Civil,3,81.6,6.9,8.56,78.3,Yes,1,6.2,Medium,Yes,6.6,No,5.1,C,53.0,54.20599999999999,At-Risk,"(75, 90]","(6, 10]"
S0026,Female,20,Mechanical,2,70.7,3.6,6.22,55.6,No,4,6.2,High,Yes,5.4,Yes,3.0,D,41.9,38.108999999999995,At-Risk,"(60, 75]","(2, 4]"
S0027,Male,22,Computer Science,1,71.9,3.5,7.15,67.7,Yes,4,6.3,High,Yes,6.0,Yes,12.4,F,16.9,26.060000000000024,At-Risk,"(60, 75]","(2, 4]"
S0028,Female,22,Electrical,4,81.5,8.2,8.47,76.5,No,1,5.2,Medium,Yes,8.8,No,1.6,B,60.3,57.48800000000006,At-Risk,"(75, 90]","(6, 10]"
S0029,Female,19,BBA,3,78.9,3.6,7.54,70.3,Yes,1,5.2,Low,Yes,7.6,Yes,9.3,C,46.7,47.553999999999945,At-Risk,"(75, 90]","(2, 4]"
S0030,Male,22,MBA,3,85.0,6.3,8.82,84.6,Yes,1,6.6,Low,No,6.0,Yes,3.4,B,61.1,58.07000000000006,At-Risk,"(75, 90]","(6, 10]"
S0031,Female,17,BBA,1,74.8,8.3,8.1,69.5,No,3,4.7,High,Yes,2.2,No,29.4,C,56.3,50.011,At-Risk,"(60, 75]","(6, 10]"
S0032,Male,20,BBA,2,78.6,2.0,6.24,67.4,Yes,0,6.2,Low,Yes,5.4,Yes,5.1,D,40.6,39.16399999999996,At-Risk,"(75, 90]","(0, 2]"
S0033,Male,19,Mechanical,1,75.1,3.1,5.88,42.6,No,0,8.5,High,Yes,6.0,No,4.9,C,45.7,43.626999999999946,At-Risk,"(75, 90]","(2, 4]"
S0034,Female,18,Electrical,1,71.0,5.1,6.59,63.8,Yes,2,6.5,Medium,Yes,3.8,No,26.7,D,39.7,40.12199999999996,At-Risk,"(60, 75]","(4, 6]"
S0035,Other,18,Civil,3,76.3,5.1,7.41,67.7,Yes,3,4.3,Medium,Yes,4.1,No,6.4,D,43.4,43.94100000000001,At-Risk,"(75, 90]","(4, 6]"
S0036,Female,21,BBA,3,80.3,2.7,7.64,71.9,Yes,0,6.7,High,Yes,3.6,Yes,29.4,D,37.0,41.101000000000006,At-Risk,"(75, 90]","(2, 4]"
S0037,Male,19,BBA,3,84.2,5.2,7.26,74.5,Yes,1,7.5,Medium,No,9.7,No,1.2,C,47.5,48.025,At-Risk,"(75, 90]","(4, 6]"
S0038,Male,21,Electronics,4,76.3,1.0,5.61,68.7,Yes,1,5.5,Medium,No,4.1,Yes,4.7,D,42.0,41.126000000000005,At-Risk,"(75, 90]","(0, 2]"
S0039,Female,18,Mechanical,3,69.2,4.1,5.79,68.4,Yes,0,6.1,Medium,Yes,3.1,No,12.0,C,53.7,48.45099999999994,At-Risk,"(60, 75]","(4, 6]"
S0040,Male,19,Mechanical,2,80.6,5.6,7.18,76.5,Yes,4,5.4,Medium,No,5.7,No,23.2,C,46.8,47.426000000000016,At-Risk,"(75, 90]","(4, 6]"
S0041,Male,20,Civil,2,88.7,8.0,9.21,87.1,Yes,0,5.9,Medium,Yes,5.8,No,4.0,C,58.9,60.62299999999993,Average,"(75, 90]","(6, 10]"
S0042,Female,21,MBA,4,65.0,5.0,5.58,51.9,No,0,5.7,Low,Yes,3.9,No,27.7,C,47.2,43.793999999999976,At-Risk,"(60, 75]","(4, 6]"
S0043,Male,19,Computer Science,1,76.3,4.5,6.68,60.0,No,1,7.0,High,Yes,8.4,No,10.0,C,53.7,50.515999999999934,At-Risk,"(75, 90]","(4, 6]"
S0044,Female,20,Electronics,4,81.1,6.6,6.44,54.9,Yes,0,8.5,High,Yes,9.3,No,17.1,C,48.8,49.58300000000005,At-Risk,"(75, 90]","(6, 10]"
S0045,Male,22,Mechanical,3,79.8,4.0,5.74,76.3,Yes,1,6.6,Low,No,5.2,No,6.1,D,37.6,40.936000000000014,At-Risk,"(75, 90]","(2, 4]"
S0046,Female,20,Electronics,1,74.5,2.3,5.76,62.3,Yes,1,4.6,Medium,Yes,3.1,No,3.4,C,49.8,44.04700000000005,At-Risk,"(60, 75]","(2, 4]"
S0047,Male,19,Mechanical,2,76.8,3.7,6.9,79.1,Yes,1,9.5,Medium,Yes,6.8,No,25.2,D,42.7,44.30399999999995,At-Risk,"(75, 90]","(2, 4]"
S0048,Female,17,Electronics,4,76.3,4.9,8.26,75.9,Yes,1,7.2,Low,Yes,7.8,No,28.1,C,48.4,50.18999999999999,At-Risk,"(75, 90]","(4, 6]"
S0049,Female,22,Electrical,2,65.6,4.0,4.36,65.8,Yes,2,7.4,High,Yes,6.0,No,7.9,D,38.6,38.63599999999996,At-Risk,"(60, 75]","(2, 4]"
S0050,Male,17,BBA,4,81.6,7.6,8.97,76.6,Yes,2,6.4,Low,Yes,6.7,No,1.1,B,63.3,58.01600000000005,At-Risk,"(75, 90]","(6, 10]"
S0051,Other,22,Mechanical,4,76.3,3.8,6.37,56.4,Yes,0,6.8,Low,No,4.3,Yes,2.2,C,46.8,45.918000000000056,At-Risk,"(75, 90]","(2, 4]"
S0052,Female,20,Electronics,2,76.1,3.3,6.48,66.8,Yes,0,6.1,Medium,Yes,5.9,No,9.5,C,53.1,48.95500000000001,At-Risk,"(75, 90]","(2, 4]"
S0053,Female,23,Computer Science,2,77.0,6.2,7.47,68.5,No,0,7.6,Medium,Yes,6.8,No,1.2,C,48.8,49.196000000000076,At-Risk,"(75, 90]","(6, 10]"
S0054,Female,21,Electrical,4,64.6,6.8,7.91,76.7,No,0,5.9,Medium,Yes,4.4,No,6.1,C,51.2,48.518999999999934,At-Risk,"(60, 75]","(6, 10]"
S0055,Female,25,Electrical,3,84.7,5.6,6.42,68.5,Yes,4,7.1,Medium,Yes,7.1,No,4.6,C,47.9,56.510000000000026,At-Risk,"(75, 90]","(4, 6]"
S0056,Female,19,Computer Science,1,77.4,4.9,7.49,81.0,Yes,1,7.7,Medium,Yes,6.4,No,13.5,C,57.8,50.157,At-Risk,"(75, 90]","(4, 6]"
S0057,Male,21,Electronics,1,64.0,3.8,5.16,67.1,Yes,2,8.0,Medium,Yes,6.7,No,1.6,D,32.7,34.69499999999996,At-Risk,"(60, 75]","(2, 4]"
S0058,Male,20,Civil,2,80.7,3.3,8.25,67.3,No,1,7.7,Low,No,4.9,Yes,7.7,D,44.9,45.878000000000014,At-Risk,"(75, 90]","(2, 4]"
S0059,Male,20,Computer Science,4,78.5,5.2,7.75,68.7,Yes,0,5.3,Medium,Yes,6.8,No,9.7,C,50.0,50.602999999999994,At-Risk,"(75, 90]","(4, 6]"
S0060,Male,20,Electronics,4,81.2,2.2,7.8,73.7,Yes,2,8.4,Low,No,8.7,Yes,10.6,C,52.1,48.702000000000034,At-Risk,"(75, 90]","(2, 4]"
S0061,Male,22,Computer Science,3,68.4,5.2,6.02,73.0,Yes,1,7.3,Low,Yes,5.7,No,6.2,C,53.0,42.882,At-Risk,"(60, 75]","(4, 6]"
S0062,Male,25,Computer Science,1,77.3,5.7,8.52,66.8,No,0,6.9,Medium,No,5.6,No,4.6,C,56.2,54.97899999999994,At-Risk,"(75, 90]","(4, 6]"
S0063,Female,21,Mechanical,1,88.7,4.4,7.39,69.7,No,2,7.0,Low,No,5.3,No,12.5,C,53.7,52.80699999999996,At-Risk,"(75, 90]","(4, 6]"
S0064,Male,20,Electronics,4,72.0,5.3,7.35,81.7,Yes,2,6.3,Low,Yes,6.5,No,19.8,C,47.6,41.48000000000001,At-Risk,"(60, 75]","(4, 6]"
S0065,Male,20,Civil,1,72.2,5.3,7.42,63.5,No,0,5.9,Low,Yes,6.2,No,12.8,D,39.9,40.869000000000035,At-Risk,"(60, 75]","(4, 6]"
S0066,Female,21,BBA,1,69.3,5.6,7.09,61.9,Yes,1,6.1,High,Yes,4.8,No,27.9,D,44.9,43.502000000000024,At-Risk,"(60, 75]","(4, 6]"
S0067,Male,19,Mechanical,1,83.3,6.7,7.1,52.7,No,2,8.0,High,Yes,7.2,No,13.6,C,47.3,53.922,At-Risk,"(75, 90]","(6, 10]"
S0068,Female,18,Computer Science,3,86.9,4.2,7.38,85.9,Yes,0,6.6,Medium,Yes,7.4,No,15.5,C,49.2,48.28000000000004,At-Risk,"(75, 90]","(4, 6]"
S0069,Male,19,BBA,4,75.1,5.7,8.67,62.0,No,1,6.8,High,Yes,2.9,No,2.8,C,45.7,47.63799999999994,At-Risk,"(75, 90]","(4, 6]"
S0070,Other,19,MBA,1,69.9,3.4,6.2,68.4,No,3,6.6,Medium,Yes,3.5,No,6.4,C,56.2,49.24999999999994,At-Risk,"(60, 75]","(2, 4]"
S0071,Female,19,BBA,2,68.1,4.4,6.29,54.9,No,5,5.7,Medium,No,6.0,No,7.6,C,49.2,40.27699999999999,At-Risk,"(60, 75]","(4, 6]"
S0072,Male,19,Computer Science,3,87.4,3.8,7.91,79.1,No,2,3.9,Low,No,5.1,Yes,4.0,C,46.3,47.39200000000005,At-Risk,"(75, 90]","(2, 4]"
S0073,Male,17,Computer Science,4,82.1,4.4,8.15,80.4,Yes,0,7.4,Medium,Yes,7.2,No,8.5,D,35.9,50.079000000000015,At-Risk,"(75, 90]","(4, 6]"
S0074,Female,17,Electronics,1,77.5,5.1,6.64,70.0,No,1,7.3,Medium,No,9.0,No,4.4,D,44.8,47.77200000000006,At-Risk,"(75, 90]","(4, 6]"
S0075,Female,25,Electronics,2,89.4,6.9,9.91,87.3,No,2,6.5,Medium,No,7.1,No,12.6,B,67.0,65.275,Average,"(75, 90]","(6, 10]"
S0076,Female,20,Mechanical,2,79.9,3.8,6.34,66.9,Yes,2,5.2,Medium,Yes,8.9,No,7.4,D,30.4,35.605000000000025,At-Risk,"(75, 90]","(2, 4]"
S0077,Female,19,Civil,4,81.2,5.0,6.88,73.1,Yes,3,8.7,Medium,Yes,8.9,No,7.1,C,59.7,53.115,At-Risk,"(75, 90]","(4, 6]"
S0078,Male,21,Mechanical,2,85.2,7.3,8.52,66.8,No,2,6.1,Medium,No,6.7,No,29.4,B,65.7,64.29499999999993,Average,"(75, 90]","(6, 10]"
S0079,Male,19,Electrical,1,74.4,7.1,8.42,90.0,No,3,6.8,High,Yes,5.7,No,6.0,C,53.4,50.98600000000001,At-Risk,"(60, 75]","(6, 10]"
S0080,Male,23,Computer Science,3,74.0,4.8,6.38,64.8,Yes,4,5.7,Medium,Yes,5.5,No,5.5,C,45.2,44.81299999999994,At-Risk,"(60, 75]","(4, 6]"
S0081,Female,21,BBA,3,81.6,4.7,7.3,65.1,Yes,2,4.9,Medium,No,5.8,No,4.8,D,42.2,43.21299999999994,At-Risk,"(75, 90]","(4, 6]"
S0082,Female,18,MBA,1,73.4,4.7,6.43,69.2,Yes,0,7.2,Medium,Yes,7.7,No,23.5,D,43.1,42.175999999999966,At-Risk,"(60, 75]","(4, 6]"
S0083,Male,20,Computer Science,4,77.2,2.6,7.39,68.9,Yes,1,4.7,Medium,Yes,6.0,Yes,7.9,D,44.5,45.852,At-Risk,"(75, 90]","(2, 4]"
S0084,Male,22,Computer Science,1,79.6,4.7,7.18,70.5,Yes,0,6.8,Medium,Yes,6.3,No,10.2,C,48.8,48.66600000000004,At-Risk,"(75, 90]","(4, 6]"
S0085,Male,23,Mechanical,2,79.0,3.9,6.92,74.8,Yes,0,6.8,Low,Yes,4.6,Yes,3.0,D,36.0,40.25600000000001,At-Risk,"(75, 90]","(2, 4]"
S0086,Male,20,MBA,2,71.9,5.1,5.63,65.8,Yes,1,5.2,Medium,Yes,6.4,No,8.8,F,29.1,34.32599999999995,At-Risk,"(60, 75]","(4, 6]"
S0087,Female,20,MBA,3,80.4,5.4,7.85,75.3,Yes,2,4.9,Low,Yes,4.8,No,4.2,C,51.9,47.833999999999975,At-Risk,"(75, 90]","(4, 6]"
S0088,Female,18,MBA,2,72.8,5.0,6.29,62.6,Yes,1,5.6,Medium,Yes,4.6,No,14.1,D,39.3,38.592000000000056,At-Risk,"(60, 75]","(4, 6]"
S0089,Female,25,Mechanical,4,81.8,7.0,9.13,74.3,Yes,3,5.7,Medium,Yes,6.2,No,18.9,C,57.4,55.604,At-Risk,"(75, 90]","(6, 10]"
S0090,Male,19,Computer Science,3,76.3,4.4,6.58,68.6,No,3,4.7,Medium,Yes,6.7,No,13.5,D,31.2,36.04299999999994,At-Risk,"(75, 90]","(4, 6]"
S0091,Male,23,Mechanical,3,80.7,6.1,7.22,71.6,No,2,5.1,Low,No,6.0,No,14.1,D,44.5,47.10000000000001,At-Risk,"(75, 90]","(6, 10]"
S0092,Female,20,Electronics,3,78.6,7.7,8.61,74.7,Yes,0,6.6,Medium,Yes,8.2,No,8.2,C,49.6,51.75900000000004,At-Risk,"(75, 90]","(6, 10]"
S0093,Female,20,Electronics,3,80.2,3.7,7.3,76.2,No,3,8.9,Low,No,8.9,Yes,13.5,C,48.3,48.61200000000006,At-Risk,"(75, 90]","(2, 4]"
S0094,Female,20,Mechanical,1,89.8,4.3,7.68,72.3,Yes,1,7.7,High,Yes,4.5,No,6.5,C,49.4,51.361,At-Risk,"(75, 90]","(4, 6]"
S0095,Female,19,MBA,2,77.8,3.5,8.1,76.0,Yes,3,6.7,High,Yes,3.6,Yes,11.5,C,45.5,46.959,At-Risk,"(75, 90]","(2, 4]"
S0096,Female,18,Computer Science,4,72.8,4.6,5.8,62.3,Yes,3,7.9,High,Yes,7.5,No,4.0,C,46.7,45.20999999999995,At-Risk,"(60, 75]","(4, 6]"
S0097,Female,19,Mechanical,1,79.6,4.4,7.87,66.7,No,2,7.9,Medium,No,8.0,No,1.7,C,57.2,50.38400000000001,At-Risk,"(75, 90]","(4, 6]"
S0098,Male,18,Mechanical,3,86.8,5.6,8.34,76.6,Yes,1,6.1,Medium,Yes,8.8,Yes,6.3,B,67.1,63.59600000000007,Average,"(75, 90]","(4, 6]"
S0099,Male,21,Mechanical,4,85.5,6.9,8.99,73.8,Yes,2,6.8,Low,Yes,6.1,No,7.2,C,55.4,57.17099999999994,At-Risk,"(75, 90]","(6, 10]"
S0100,Male,19,Electrical,1,79.6,2.4,6.81,66.9,No,0,7.7,Low,No,6.3,Yes,4.0,F,22.5,29.708000000000002,At-Risk,"(75, 90]","(2, 4]"
S0101,Male,18,Electronics,3,83.8,4.7,8.06,67.0,Yes,3,7.8,Medium,Yes,5.3,No,14.0,B,65.0,59.520000000000024,At-Risk,"(75, 90]","(4, 6]"
S0102,Female,24,BBA,2,81.3,4.1,6.96,75.4,Yes,1,7.8,Medium,Yes,4.4,No,1.8,C,52.2,47.63,At-Risk,"(75, 90]","(4, 6]"
S0103,Male,22,MBA,2,72.1,5.8,6.97,69.9,Yes,1,5.3,High,Yes,5.6,No,3.5,C,49.0,46.177,At-Risk,"(60, 75]","(4, 6]"
S0104,Female,23,Civil,1,78.9,5.1,6.96,57.7,No,1,7.9,Low,No,10.0,No,14.8,C,48.7,47.50499999999997,At-Risk,"(75, 90]","(4, 6]"
S0105,Female,25,BBA,1,80.0,4.1,6.96,72.0,Yes,5,8.7,High,Yes,6.9,No,6.7,B,70.3,61.146000000000065,Average,"(75, 90]","(4, 6]"
S0106,Male,18,MBA,3,91.0,7.9,9.03,83.1,Yes,2,8.3,Medium,Yes,5.9,No,13.2,C,59.0,61.188,Average,"(90, 100]","(6, 10]"
S0107,Male,19,Civil,3,78.7,3.0,7.5,68.2,No,0,5.2,Medium,Yes,5.8,Yes,9.4,C,56.8,51.44700000000005,At-Risk,"(75, 90]","(2, 4]"
S0108,Female,21,Electrical,3,63.4,4.4,7.34,65.7,Yes,2,4.9,Low,Yes,1.4,Yes,29.4,F,28.8,35.95200000000001,At-Risk,"(60, 75]","(4, 6]"
S0109,Male,21,Mechanical,2,76.5,4.5,5.85,70.4,Yes,1,7.1,Low,Yes,7.4,No,10.1,C,45.5,46.022,At-Risk,"(75, 90]","(4, 6]"
S0110,Male,18,Electrical,1,96.6,4.8,8.22,71.5,Yes,1,8.3,Medium,Yes,8.8,No,1.1,B,73.0,67.65599999999999,Average,"(90, 100]","(4, 6]"
S0111,Male,22,Electrical,3,77.3,4.4,8.79,70.4,Yes,4,6.8,Medium,Yes,6.0,No,5.4,C,47.5,49.797,At-Risk,"(75, 90]","(4, 6]"
S0112,Male,19,BBA,1,78.2,4.1,7.2,67.1,No,4,6.2,Low,Yes,8.3,No,2.5,D,30.8,35.70000000000005,At-Risk,"(75, 90]","(4, 6]"
S0113,Female,19,Computer Science,4,84.8,6.0,9.96,92.6,Yes,1,6.4,Medium,Yes,7.0,No,26.9,B,61.5,60.65299999999999,Average,"(75, 90]","(4, 6]"
S0114,Female,20,BBA,4,77.5,5.1,7.07,59.7,No,3,7.7,High,No,9.8,No,2.1,D,41.5,44.05200000000001,At-Risk,"(75, 90]","(4, 6]"
S0115,Female,20,Electronics,3,72.0,2.6,5.36,72.1,Yes,4,6.1,High,Yes,3.3,No,5.9,D,41.8,40.40200000000005,At-Risk,"(60, 75]","(2, 4]"
S0116,Female,20,Civil,4,75.3,5.2,7.25,63.4,Yes,3,7.1,High,No,7.0,No,3.6,D,44.8,44.95000000000005,At-Risk,"(75, 90]","(4, 6]"
S0117,Female,18,Mechanical,1,79.5,4.9,5.44,55.1,Yes,1,6.3,Medium,Yes,7.5,No,19.8,B,65.5,58.31400000000001,At-Risk,"(75, 90]","(4, 6]"
S0118,Male,22,BBA,3,76.6,6.6,8.1,69.8,No,1,5.4,Low,Yes,3.1,No,4.7,C,52.2,50.72299999999995,At-Risk,"(75, 90]","(6, 10]"
S0119,Female,19,Civil,2,76.7,4.5,7.18,71.4,Yes,2,5.3,Medium,Yes,7.5,No,29.4,C,55.6,52.84900000000003,At-Risk,"(75, 90]","(4, 6]"
S0120,Female,18,MBA,4,87.3,4.4,8.45,76.9,No,0,7.1,Medium,No,6.2,Yes,1.4,D,40.9,45.37900000000001,At-Risk,"(75, 90]","(4, 6]"
S0121,Female,22,Civil,1,80.7,4.9,6.02,59.2,Yes,1,3.3000000000000007,Low,Yes,6.7,Yes,2.4,D,36.3,46.231000000000016,At-Risk,"(75, 90]","(4, 6]"
S0122,Female,24,MBA,3,80.1,6.6,7.1,69.6,Yes,1,7.1,Low,Yes,7.7,No,3.5,D,42.1,47.46099999999999,At-Risk,"(75, 90]","(6, 10]"
S0123,Male,22,BBA,4,74.8,4.8,7.34,75.7,No,4,6.3,Medium,No,8.3,No,17.7,F,27.0,33.69900000000001,At-Risk,"(60, 75]","(4, 6]"
S0124,Male,22,Electronics,1,76.3,5.3,8.04,67.3,No,1,7.6,Low,Yes,4.2,Yes,22.1,C,51.2,51.33699999999995,At-Risk,"(75, 90]","(4, 6]"
S0125,Male,21,BBA,2,79.6,4.0,5.45,62.9,No,1,7.2,Low,No,7.9,No,1.7,D,38.2,42.07099999999997,At-Risk,"(75, 90]","(2, 4]"
S0126,Male,20,MBA,3,60.1,4.4,6.36,68.3,Yes,1,6.6,Low,Yes,3.1,No,1.3,F,20.8,22.178999999999988,At-Risk,"(60, 75]","(4, 6]"
S0127,Female,18,Civil,2,63.8,6.8,6.3,55.4,No,1,5.2,Low,No,6.6,No,14.6,D,37.2,36.31799999999996,At-Risk,"(60, 75]","(6, 10]"
S0128,Female,20,Civil,1,73.9,4.9,5.19,71.2,Yes,3,5.3,Medium,Yes,6.4,No,2.4,C,51.3,48.03100000000008,At-Risk,"(60, 75]","(4, 6]"
S0129,Male,19,MBA,1,83.9,7.4,8.09,69.2,No,1,5.7,Medium,No,5.3,No,2.4,B,62.1,59.89600000000006,At-Risk,"(75, 90]","(6, 10]"
S0130,Female,19,Electrical,1,85.7,4.5,7.17,67.1,No,4,7.5,Medium,No,5.9,No,1.2,C,52.1,50.70500000000002,At-Risk,"(75, 90]","(4, 6]"
S0131,Male,21,Electronics,4,78.3,6.2,7.35,70.2,No,0,8.6,Low,Yes,5.9,Yes,1.5,D,44.8,47.91300000000007,At-Risk,"(75, 90]","(6, 10]"
S0132,Male,20,Computer Science,2,70.8,4.6,6.87,71.9,Yes,4,6.9,Low,Yes,6.0,No,4.1,B,60.4,53.09799999999998,At-Risk,"(60, 75]","(4, 6]"
S0133,Male,18,Mechanical,1,72.5,4.3,5.93,50.4,No,0,5.8,Medium,Yes,6.3,No,1.7,C,46.4,41.90800000000002,At-Risk,"(60, 75]","(4, 6]"
S0134,Male,19,Civil,2,75.4,4.3,5.95,68.7,Yes,0,5.9,Medium,Yes,9.3,No,5.6,D,34.8,38.698000000000036,At-Risk,"(75, 90]","(4, 6]"
S0135,Female,21,Mechanical,2,82.1,6.7,8.97,83.5,Yes,0,6.0,Medium,No,7.4,No,18.9,B,60.4,59.22799999999996,At-Risk,"(75, 90]","(6, 10]"
S0136,Male,18,Computer Science,1,77.0,5.7,7.23,64.2,Yes,1,7.7,Medium,Yes,6.2,No,5.0,C,49.3,48.96600000000008,At-Risk,"(75, 90]","(4, 6]"
S0137,Female,22,BBA,2,80.5,5.1,6.38,47.3,No,2,5.9,High,Yes,6.8,No,14.0,C,48.3,44.672,At-Risk,"(75, 90]","(4, 6]"
S0138,Female,20,Mechanical,2,82.0,4.4,7.24,74.2,Yes,0,6.4,Low,Yes,6.6,Yes,2.0,C,48.8,47.92000000000001,At-Risk,"(75, 90]","(4, 6]"
S0139,Male,20,Computer Science,2,79.4,3.6,6.23,69.0,Yes,0,8.1,Medium,Yes,6.1,No,11.8,D,41.8,43.10300000000004,At-Risk,"(75, 90]","(2, 4]"
S0140,Other,20,MBA,3,76.9,3.6,5.72,54.6,No,2,5.8,Medium,Yes,7.1,No,4.8,C,51.2,42.593,At-Risk,"(75, 90]","(2, 4]"
S0141,Other,22,Electrical,1,65.8,4.0,5.97,56.1,No,3,7.2,Medium,Yes,4.6,No,14.9,F,28.9,32.513000000000034,At-Risk,"(60, 75]","(2, 4]"
S0142,Male,19,Civil,3,80.2,3.5,6.64,67.4,No,3,7.6,Low,Yes,5.3,Yes,2.5,D,38.8,40.46400000000006,At-Risk,"(75, 90]","(2, 4]"
S0143,Female,21,Computer Science,2,67.7,5.2,5.48,53.4,Yes,5,6.6,Medium,Yes,3.2,No,23.8,C,47.5,43.95700000000002,At-Risk,"(60, 75]","(4, 6]"
S0144,Male,20,Mechanical,2,78.3,5.0,6.96,68.9,Yes,0,8.8,Medium,Yes,6.9,No,3.8,B,68.4,62.72499999999995,Average,"(75, 90]","(4, 6]"
S0145,Male,19,Civil,3,73.1,0.399999999999999,6.21,65.2,Yes,1,8.5,Low,Yes,6.0,Yes,5.4,D,32.3,32.85600000000004,At-Risk,"(60, 75]","(0, 2]"
